
20240206	00:06:03	10452737-9dd6-4e0d-975f-fdddd6081a75	GET	http://localhost:4200	/pedido/lista
20240206	00:09:44	bd2e4aa6-397c-415b-b4ea-e51e6e4fc6fc	GET	http://localhost:4200	/pedido/lista
20240206	00:11:00	f64adf31-012e-4dc7-9d4c-8f59e34871f2	GET	http://localhost:4200	/pedido/lista
20240206	00:12:08	e8ce5ea9-3efd-444e-ad9f-5c5b9e72b1fb	GET	http://localhost:4200	/pedido/lista
20240206	00:12:08	56fb865f-7e43-411f-baa8-74c5ff46c8e0	GET	http://localhost:4200	/cliente
20240206	00:12:10	df16eebf-a0ae-4cf1-9fd1-4e3812e9fb51	GET	http://localhost:4200	/pedido/lista
20240206	00:15:25	af957795-b557-4a02-9a29-6197b216da4f	GET	http://localhost:4200	/pedido/lista
20240206	00:15:41	e9fdcfe7-d7ac-4dc8-80ab-24a0eed08566	GET	http://localhost:4200	/pedido/lista
20240206	00:16:01	3a0fc213-bbb9-4386-b891-67925cce2ea9	GET	http://localhost:4200	/pedido/lista
20240206	00:16:07	badd3a80-38d1-44e2-ab3b-757e447a48e8	GET	http://localhost:4200	/pedido/lista
20240206	00:16:09	083c832a-c7fc-4059-b43d-295119850964	GET	http://localhost:4200	/pedido/lista
20240206	00:16:16	793b0996-82b8-446b-bfe3-48477e56a256	GET	http://localhost:4200	/pedido/lista
20240206	00:16:19	0966d8e5-d7de-4290-8585-bf6af5932f14	GET	http://localhost:4200	/pedido/lista
20240206	00:34:30	67dc5ae9-4e36-43d3-995a-0e92a29959a2	GET	http://localhost:4200	/pedido/lista
20240206	00:35:02	88925b33-3fd7-4578-849e-3f761bc43129	GET	http://localhost:4200	/pedido/lista
20240206	00:35:18	3842f7f3-dac7-4048-bcb4-d4f15f2471ba	GET	http://localhost:4200	/pedido/lista
20240206	00:35:28	622e3ec8-9371-480d-8e07-2400e5a43d16	GET	http://localhost:4200	/pedido/lista
20240206	00:36:17	a2e1abfd-9e01-4879-9c3c-45ddf217fa42	GET	http://localhost:4200	/pedido/lista
20240206	00:36:30	0c48340e-bb1c-4532-bad9-e891d52960b9	GET	http://localhost:4200	/pedido/lista
20240206	00:38:00	0ead01bc-212a-483a-8713-73d6ad3432ae	GET	http://localhost:4200	/pedido/lista
20240206	00:39:43	9036ed85-8b05-45e4-aeff-d80d982e3fcc	GET	http://localhost:4200	/pedido/lista
20240206	00:39:53	09f1a39f-4c38-4507-814b-2b4111fbba09	GET	http://localhost:4200	/pedido/lista
20240206	00:40:02	c28c558c-c0e1-4c34-aaf2-c41f07052531	GET	http://localhost:4200	/pedido/lista
20240206	00:40:07	b54920dc-718a-48f0-8c68-3134a8266937	GET	http://localhost:4200	/pedido/lista
20240206	00:40:49	28b198d8-02e0-454c-bf3a-1ded43615754	GET	http://localhost:4200	/pedido/lista
20240206	00:40:52	9eb340a6-5f0e-4b67-9c83-ab66e89cc5f9	GET	http://localhost:4200	/pedido/lista
20240206	00:41:29	50c65568-f09d-499a-9297-ded5de3b2bfe	GET	http://localhost:4200	/pedido/lista
20240206	00:45:55	535833ea-9eb8-4d25-9e2d-720cf55d6046	GET	http://localhost:4200	/pedido/lista
20240206	00:52:37	07d99768-f7b4-4eda-8393-70a5dcecaf45	GET	http://localhost:4200	/pedido/lista
20240206	00:52:50	d4085e86-2b0e-4edd-9419-1f7d5456c4bf	GET	http://localhost:4200	/pedido/lista
20240206	00:53:15	a744ba21-8e5c-4adc-b1af-1161f5fea6c0	GET	http://localhost:4200	/pedido/lista
20240206	00:54:46	aab0c795-e74f-4e8f-9392-01c3cf842749	GET	http://localhost:4200	/pedido/lista
20240206	01:02:20	2e343c68-808a-4c9e-ba0d-02d58e9ed540	GET	http://localhost:4200	/pedido/lista
20240206	01:02:30	9a6f54eb-1bc9-4e8f-bf56-213789de8935	GET	http://localhost:4200	/pedido/lista
20240206	01:03:42	e1c0e2a6-b6c2-4cd8-ae48-a7f16dfc3b7c	GET	http://localhost:4200	/pedido/lista
20240206	01:04:09	c70cce34-c214-4494-9d15-4e7b88a7e2bc	GET	http://localhost:4200	/pedido/lista
20240206	01:05:14	6ddfabf5-4bc0-4096-a990-73fa6cb139d0	GET	http://localhost:4200	/pedido/lista
20240206	01:09:04	4b80c80e-de6e-4412-80dc-554b48938fb6	GET	http://localhost:4200	/pedido/lista
20240206	01:09:14	d56cea83-bdcd-4f46-8999-2935aa77aedd	GET	http://localhost:4200	/pedido/lista
20240206	01:12:58	9180c5db-032f-4e00-8130-4e53866110a3	GET	http://localhost:4200	/pedido/lista
20240206	01:14:37	26aeb63d-3249-4d50-9ac5-2a749b7c8d0e	GET	http://localhost:4200	/pedido/lista
20240206	01:15:08	424a2bf5-a1a9-433a-99e3-5733930ac385	GET	http://localhost:4200	/pedido/lista
20240206	01:17:06	f0c856ab-5c33-49dc-bc52-59321874d9b3	GET	http://localhost:4200	/pedido/lista
20240206	01:17:48	671440d5-7c9e-4b72-86b5-acc311cca059	GET	http://localhost:4200	/pedido/lista
20240206	01:19:26	33ade91b-880a-4767-8d52-b3da2a64db55	GET	http://localhost:4200	/pedido/lista
20240206	01:19:34	56048fe4-d2df-4708-8f2d-ce8ed4fe691a	GET	http://localhost:4200	/pedido/lista
20240206	01:20:05	d9ea592f-e7cb-4a75-9559-131c980c0a9a	GET	http://localhost:4200	/pedido/lista
20240206	01:21:04	afa52f7d-0f60-4a54-bec5-94184348826d	GET	http://localhost:4200	/pedido/lista
20240206	01:21:49	1052703b-828a-46f7-808b-f68961745acb	GET	http://localhost:4200	/pedido/lista
